"Survey","Item.ID","Item.Type","Parent","NA","Question.ID","Question.Text","Question.Type","Conditional.Child.Item.ID","Conditional.Fail.Item.ID","Conditional.Threshold","Conditional.Type","Conditional.Master.Item.ID","QID","Question.Type.Display.Name","Result.Type","Multiple.Question.Type"
"Evening Survey ID 315","Item 5002","Question","Item 5034",NA,"Question 5192","<b>TODAY</b>...How much difficulty do you have with using your hands to complete tasks?",3,NA,NA,NA,NA,NA,"Q_5192","Slider","numeric",FALSE
"Evening Survey ID 315","Item 5050","Question","Item 5034",NA,"Question 5290","Did you have any falls today? A fall is defined as a slip or trip where you lost your balance and landed on the floor or ground or lower level.",0,"5052","5051","1","1",NA,"Q_5290","Multiple Choice","integer",FALSE
"Evening Survey ID 315","Item 5052","Block","Item 5034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evening Survey ID 315","Item 5051","Question","Item 5034",NA,"Question 4838","End Block",21,NA,NA,NA,NA,"5050","Q_4838","End Block",NA,FALSE
"Evening Survey ID 315","Item 5045","Question","Item 5052",NA,"Question 4834","We would like you to report on the nature of the fall. If you have multiple incidents to report you can add more later.",6,NA,NA,NA,NA,NA,"Q_4834","Informational Fullscreen",NA,FALSE
"Evening Survey ID 315","Item 5043","Question","Item 5052",NA,"Question 4835","What time did the fall occur?",1,NA,NA,NA,NA,NA,"Q_4835","Time Picker","integer",FALSE
"Evening Survey ID 315","Item 5044","Question","Item 5052",NA,"Question 4836","Were you distracted or doing two things at once when you fell?",0,NA,NA,NA,NA,NA,"Q_4836","Multiple Choice","integer",FALSE
"Evening Survey ID 315","Item 7218","Question","Item 5052",NA,"Question 7588","Did your fall result in injury?",0,"7219","5046","1","1",NA,"Q_7588","Multiple Choice","integer",FALSE
"Evening Survey ID 315","Item 7219","Question","Item 5052",NA,"Question 7589","Please select the nature of the injury (select all that apply):",7,NA,NA,NA,NA,"7218","Q_7589","Multiple Select","integer",TRUE
"Evening Survey ID 315","Item 5046","Question","Item 5052",NA,"Question 4837","Do you have any other incidents to report?",0,NA,NA,NA,NA,"7218","Q_4837","Multiple Choice","integer",FALSE
"Evening Survey ID 315","Item 5071","Block","Evening Survey ID 315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evening Survey ID 315","Item 5068","Question","Item 5071",NA,"Question 4863","Thank you for answering your survey questions! Now it is time to play some brain games!",6,NA,NA,NA,NA,NA,"Q_4863","Informational Fullscreen",NA,FALSE
"Evening Survey ID 315","Item 5146","Question","Item 5071",NA,"Question 4964","Get ready for the next brain game. Tap the arrow button to continue.",27,NA,NA,NA,NA,NA,"Q_4964","Cognitive Test","other",FALSE
"Evening Survey ID 315","Item 5145","Question","Item 5071",NA,"Question 4965","Thank you for completing the brain games! Tap the arrow button to continue.",27,NA,NA,NA,NA,NA,"Q_4965","Cognitive Test","other",FALSE
"Evening Survey ID 315","Item 5033","Block","Evening Survey ID 315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evening Survey ID 315","Item 4986","Question","Item 5033",NA,"Question 4793","During the brain games, were you distracted by anything in your environment?",0,"5027","4988","2","1",NA,"Q_4793","Multiple Choice","integer",FALSE
"Evening Survey ID 315","Item 5027","Question","Item 5033",NA,"Question 4794","Please check all applicable distractions.",7,NA,NA,NA,NA,"4986","Q_4794","Multiple Select","integer",TRUE
"Evening Survey ID 315","Item 4988","Question","Item 5033",NA,"Question 4795","Thank you for completing your survey and brain games!",6,NA,NA,NA,NA,"4986","Q_4795","Informational Fullscreen",NA,FALSE
"Beeped Survey 2 ID 316","Item 5036","Block","Beeped Survey 2 ID 316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beeped Survey 2 ID 316","Item 4985","Question","Item 5036",NA,"Question 4798","Where are you?",0,NA,NA,NA,NA,NA,"Q_4798","Multiple Choice","integer",FALSE
"Beeped Survey 2 ID 316","Item 4970","Question","Item 5036",NA,"Question 4799","These next few questions will ask you about how you feel <b>RIGHT NOW</b>.",6,NA,NA,NA,NA,NA,"Q_4799","Informational Fullscreen",NA,FALSE
"Beeped Survey 2 ID 316","Item 5011","Question","Item 5036",NA,"Question 5193","<b>RIGHT NOW</b>...<br>How much <b>PHYSICAL</b> fatigue do you have?",3,NA,NA,NA,NA,NA,"Q_5193","Slider","numeric",FALSE
"Beeped Survey 2 ID 316","Item 5010","Question","Item 5036",NA,"Question 5194","<b>RIGHT NOW</b>...<br>How much <b>MENTAL</b> fatigue do you have?",3,NA,NA,NA,NA,NA,"Q_5194","Slider","numeric",FALSE
"Beeped Survey 2 ID 316","Item 4974","Question","Item 5036",NA,"Question 5195","<b>RIGHT NOW</b>...<br>How much pain do you have?",3,NA,NA,NA,NA,NA,"Q_5195","Slider","numeric",FALSE
"Beeped Survey 2 ID 316","Item 4973","Question","Item 5036",NA,"Question 5196","<b>RIGHT NOW</b>...<br>How would you rate your ability to remember?",3,NA,NA,NA,NA,NA,"Q_5196","Slider","numeric",FALSE
"Beeped Survey 2 ID 316","Item 4972","Question","Item 5036",NA,"Question 5197","<b>RIGHT NOW</b>...<br>How foggy is your thinking?",3,NA,NA,NA,NA,NA,"Q_5197","Slider","numeric",FALSE
"Beeped Survey 2 ID 316","Item 4971","Question","Item 5036",NA,"Question 5198","<b>RIGHT NOW</b>...<br>How slow is your thinking?",3,NA,NA,NA,NA,NA,"Q_5198","Slider","numeric",FALSE
"Beeped Survey 2 ID 316","Item 4978","Question","Item 5036",NA,"Question 4806","<b>RIGHT NOW</b>, I feel sad.",0,NA,NA,NA,NA,NA,"Q_4806","Multiple Choice","integer",FALSE
"Beeped Survey 2 ID 316","Item 4979","Question","Item 5036",NA,"Question 4807","<b>RIGHT NOW</b>, I feel hopeless.",0,NA,NA,NA,NA,NA,"Q_4807","Multiple Choice","integer",FALSE
"Beeped Survey 2 ID 316","Item 4980","Question","Item 5036",NA,"Question 4808","<b>RIGHT NOW</b>, I feel discouraged.",0,NA,NA,NA,NA,NA,"Q_4808","Multiple Choice","integer",FALSE
"Beeped Survey 2 ID 316","Item 4977","Question","Item 5036",NA,"Question 5199","How would you rate your current amount of stress?",3,NA,NA,NA,NA,NA,"Q_5199","Slider","numeric",FALSE
"Beeped Survey 2 ID 316","Item 5028","Question","Item 5036",NA,"Question 4941","Since the last assessment, did you consume (check all that apply):",7,NA,NA,NA,NA,NA,"Q_4941","Multiple Select","integer",TRUE
"Beeped Survey 2 ID 316","Item 5037","Block","Beeped Survey 2 ID 316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beeped Survey 2 ID 316","Item 5025","Question","Item 5037",NA,"Question 4811","These next set of questions refer to your time <b>SINCE YOUR LAST SURVEY</b>.",6,NA,NA,NA,NA,NA,"Q_4811","Informational Fullscreen",NA,FALSE
"Beeped Survey 2 ID 316","Item 5003","Question","Item 5037",NA,"Question 4812","<b>SINCE YOUR LAST SURVEY</b>, did you:<br><br>Take rest breaks during activities?",0,NA,NA,NA,NA,NA,"Q_4812","Multiple Choice","integer",FALSE
"Beeped Survey 2 ID 316","Item 5005","Question","Item 5037",NA,"Question 4813","<b>SINCE YOUR LAST SURVEY</b>, did you:<br><br>Break up activity into manageable pieces?",0,NA,NA,NA,NA,NA,"Q_4813","Multiple Choice","integer",FALSE
"Beeped Survey 2 ID 316","Item 5004","Question","Item 5037",NA,"Question 4814","<b>SINCE YOUR LAST SURVEY</b>, did you:<br><br>Go slower and spread out activity over time?",0,NA,NA,NA,NA,NA,"Q_4814","Multiple Choice","integer",FALSE
"Beeped Survey 2 ID 316","Item 5072","Block","Beeped Survey 2 ID 316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beeped Survey 2 ID 316","Item 5068","Question","Item 5072",NA,"Question 4871","Thank you for answering your survey questions! Now it is time to play some brain games!",6,NA,NA,NA,NA,NA,"Q_4871","Informational Fullscreen",NA,FALSE
"Beeped Survey 2 ID 316","Item 5146","Question","Item 5072",NA,"Question 4966","Get ready for the next brain game. Tap the arrow button to continue.",27,NA,NA,NA,NA,NA,"Q_4966","Cognitive Test","other",FALSE
"Beeped Survey 2 ID 316","Item 5145","Question","Item 5072",NA,"Question 4967","Thank you for completing the brain games! Tap the arrow button to continue.",27,NA,NA,NA,NA,NA,"Q_4967","Cognitive Test","other",FALSE
"Beeped Survey 2 ID 316","Item 5038","Block","Beeped Survey 2 ID 316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beeped Survey 2 ID 316","Item 4986","Question","Item 5038",NA,"Question 4815","During the brain games, were you distracted by anything in your environment?",0,"5027","4988","2","1",NA,"Q_4815","Multiple Choice","integer",FALSE
